w_bits,w_group_size,k_bits,k_group_size,v_bits,v_group_size,k_dim,v_dim,n_token,wbits,kvbits,kbits,vbits,kvdim,kdim,vdim,eff_kvbits,eff_kbits,eff_vbits,memory,memory_MB,memory_GB
3,-1,2,128,2,128,32,32,16384,3.0063100961538463,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,4996538368.0,4765.0703125,4.653388977050781
3,-1,2,128,2,128,32,32,32768,3.0063100961538463,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,5223030784.0,4981.0703125,4.864326477050781
3,-1,2,128,2,128,32,32,65536,3.0063100961538463,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,5676015616.0,5413.0703125,5.286201477050781
3,-1,2,128,2,128,32,32,131072,3.0063100961538463,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,6581985280.0,6277.0703125,6.129951477050781
3,-1,2,128,2,128,0,0,16384,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5074591744.0,4839.5078125,4.726081848144531
3,-1,2,128,2,128,0,0,32768,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5376581632.0,5127.5078125,5.007331848144531
3,-1,2,128,2,128,0,0,65536,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5980561408.0,5703.5078125,5.569831848144531
3,-1,2,128,2,128,0,0,131072,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,7188520960.0,6855.5078125,6.694831848144531
3,-1,4,128,4,128,32,32,16384,3.0063100961538463,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,5196292096.0,4955.5703125,4.839424133300781
3,-1,4,128,4,128,32,32,32768,3.0063100961538463,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,5624111104.0,5363.5703125,5.237861633300781
3,-1,4,128,4,128,32,32,65536,3.0063100961538463,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,6479749120.0,6179.5703125,6.034736633300781
3,-1,4,128,4,128,32,32,131072,3.0063100961538463,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,8191025152.0,7811.5703125,7.628486633300781
3,-1,4,128,4,128,0,0,16384,3.0063100961538463,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,5340930048.0,5093.5078125,4.974128723144531
3,-1,4,128,4,128,0,0,32768,3.0063100961538463,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,5911355392.0,5637.5078125,5.505378723144531
3,-1,4,128,4,128,0,0,65536,3.0063100961538463,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,7052206080.0,6725.5078125,6.567878723144531
3,-1,4,128,4,128,0,0,131072,3.0063100961538463,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,9333907456.0,8901.5078125,8.692878723144531
3,128,2,128,2,128,32,32,16384,3.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,5209137152.0,4967.8203125,4.851387023925781
3,128,2,128,2,128,32,32,32768,3.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,5435629568.0,5183.8203125,5.062324523925781
3,128,2,128,2,128,32,32,65536,3.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,5888614400.0,5615.8203125,5.484199523925781
3,128,2,128,2,128,32,32,131072,3.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,6794584064.0,6479.8203125,6.327949523925781
3,128,2,128,2,128,0,0,16384,3.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5287190528.0,5042.2578125,4.924079895019531
3,128,2,128,2,128,0,0,32768,3.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5589180416.0,5330.2578125,5.205329895019531
3,128,2,128,2,128,0,0,65536,3.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6193160192.0,5906.2578125,5.767829895019531
3,128,2,128,2,128,0,0,131072,3.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,7401119744.0,7058.2578125,6.892829895019531
