w_bits,w_group_size,k_bits,k_group_size,v_bits,v_group_size,k_prune_dim,v_prune_dim,n_token,wbits,kvbits,kbits,vbits,kvdim,kdim,vdim,eff_kvbits,eff_kbits,eff_vbits,memory
3,-1,2,128,2,128,48,48,16384,3.0068194600674913,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,4728538112.0
3,-1,2,128,2,128,0,0,16384,3.0068194600674913,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,4779760640.0
3,-1,3,32,3,32,48,48,16384,3.0068194600674913,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,4792261632.0
3,-1,3,32,3,32,0,0,16384,3.0068194600674913,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,4881718272.0
3,128,2,128,2,128,48,48,16384,3.25,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,4926891008.0
3,128,2,128,2,128,0,0,16384,3.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,4978113536.0
3,128,3,32,3,32,48,48,16384,3.25,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,4990614528.0
3,128,3,32,3,32,0,0,16384,3.25,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,5080071168.0
4,-1,2,128,2,128,48,48,16384,4.006819460067492,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,5544199168.0
4,-1,2,128,2,128,0,0,16384,4.006819460067492,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5595421696.0
4,-1,3,32,3,32,48,48,16384,4.006819460067492,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,5607922688.0
4,-1,3,32,3,32,0,0,16384,4.006819460067492,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,5697379328.0

3,-1,2,128,2,128,48,48,32768,3.0068194600674913,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,4811113472.0
3,-1,2,128,2,128,0,0,32768,3.0068194600674913,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,4911881216.0
3,-1,3,32,3,32,48,48,32768,3.0068194600674913,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,4939062272.0
3,-1,3,32,3,32,0,0,32768,3.0068194600674913,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,5116599296.0
3,128,2,128,2,128,48,48,32768,3.25,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,5009466368.0
3,128,2,128,2,128,0,0,32768,3.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5110234112.0
3,128,3,32,3,32,48,48,32768,3.25,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,5137415168.0
3,128,3,32,3,32,0,0,32768,3.25,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,5314952192.0
4,-1,2,128,2,128,48,48,32768,4.006819460067492,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,5626774528.0
