w_bits,w_group_size,k_bits,k_group_size,v_bits,v_group_size,k_prune_dim,v_prune_dim,n_token,wbits,kvbits,kbits,vbits,kvdim,kdim,vdim,eff_kvbits,eff_kbits,eff_vbits,memory
2.75,128,1.25,128,1.25,128,0,0,16384,3.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,4969209856.0
2.75,128,2.0,128,2.0,128,0,0,16384,3.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5069086720.0
2.75,128,2.75,128,2.75,128,0,0,16384,3.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,5168963584.0
2.75,128,3.5,128,3.5,128,0,0,16384,3.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,5268840448.0
3.25,128,1.25,128,1.25,128,0,0,16384,3.5,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,5405417472.0
3.25,128,2.0,128,2.0,128,0,0,16384,3.5,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5505294336.0
3.25,128,2.75,128,2.75,128,0,0,16384,3.5,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,5605171200.0
3.25,128,3.5,128,3.5,128,0,0,16384,3.5,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,5705048064.0
3.75,128,1.25,128,1.25,128,0,0,16384,4.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,5841625088.0
3.75,128,2.0,128,2.0,128,0,0,16384,4.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5941501952.0
3.75,128,2.75,128,2.75,128,0,0,16384,4.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,6041378816.0
3.75,128,3.5,128,3.5,128,0,0,16384,4.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,6141255680.0

2.75,128,1.25,128,1.25,128,0,0,32768,3.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,5170536448.0
2.75,128,2.0,128,2.0,128,0,0,32768,3.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5371076608.0
2.75,128,2.75,128,2.75,128,0,0,32768,3.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,5571616768.0
2.75,128,3.5,128,3.5,128,0,0,32768,3.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,5772156928.0
3.25,128,1.25,128,1.25,128,0,0,32768,3.5,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,5606744064.0
3.25,128,2.0,128,2.0,128,0,0,32768,3.5,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5807284224.0
3.25,128,2.75,128,2.75,128,0,0,32768,3.5,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,6007824384.0
3.25,128,3.5,128,3.5,128,0,0,32768,3.5,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,6208364544.0
3.75,128,1.25,128,1.25,128,0,0,32768,4.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,6042951680.0
3.75,128,2.0,128,2.0,128,0,0,32768,4.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6243491840.0
3.75,128,2.75,128,2.75,128,0,0,32768,4.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,6444032000.0
3.75,128,3.5,128,3.5,128,0,0,32768,4.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,6644572160.0

2.75,128,1.25,128,1.25,128,0,0,65536,3.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,5573189632.0
2.75,128,2.0,128,2.0,128,0,0,65536,3.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5975056384.0
2.75,128,2.75,128,2.75,128,0,0,65536,3.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,6376923136.0
2.75,128,3.5,128,3.5,128,0,0,65536,3.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,6778789888.0
3.25,128,1.25,128,1.25,128,0,0,65536,3.5,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,6009397248.0
3.25,128,2.0,128,2.0,128,0,0,65536,3.5,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6411264000.0
3.25,128,2.75,128,2.75,128,0,0,65536,3.5,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,6813130752.0
3.25,128,3.5,128,3.5,128,0,0,65536,3.5,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,7214997504.0
3.75,128,1.25,128,1.25,128,0,0,65536,4.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,6445604864.0
3.75,128,2.0,128,2.0,128,0,0,65536,4.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6847471616.0
3.75,128,2.75,128,2.75,128,0,0,65536,4.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,7249338368.0
3.75,128,3.5,128,3.5,128,0,0,65536,4.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,7651205120.0

2.75,128,1.25,128,1.25,128,0,0,131072,3.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,6378496000.0
2.75,128,2.0,128,2.0,128,0,0,131072,3.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,7183015936.0
2.75,128,2.75,128,2.75,128,0,0,131072,3.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,7987535872.0
2.75,128,3.5,128,3.5,128,0,0,131072,3.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,8792055808.0
3.25,128,1.25,128,1.25,128,0,0,131072,3.5,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,6814703616.0
3.25,128,2.0,128,2.0,128,0,0,131072,3.5,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,7619223552.0
3.25,128,2.75,128,2.75,128,0,0,131072,3.5,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,8423743488.0
3.25,128,3.5,128,3.5,128,0,0,131072,3.5,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,9228263424.0
3.75,128,1.25,128,1.25,128,0,0,131072,4.0,1.5,1.5,1.5,128.0,128.0,128.0,1.5,1.5,1.5,7250911232.0
3.75,128,2.0,128,2.0,128,0,0,131072,4.0,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,8055431168.0
3.75,128,2.75,128,2.75,128,0,0,131072,4.0,3.0,3.0,3.0,128.0,128.0,128.0,3.0,3.0,3.0,8859951104.0
3.75,128,3.5,128,3.5,128,0,0,131072,4.0,3.75,3.75,3.75,128.0,128.0,128.0,3.75,3.75,3.75,9664471040.0
